                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9793,                 5.4549,                  2.468,                0.07221,                0.30676,                0.04944,                0.01437,                 2.5593,                 3.7431,                 2.2757,             0.00046442,             0.00046442,             0.00046442
                      2,                 2.7906,                 3.3877,                  2.284,                0.04934,                0.16787,                0.01266,                0.00422,                 3.1329,                 4.9268,                 2.3956,             0.00084762,             0.00084762,             0.00084762
                      3,                 2.8887,                 3.1408,                 2.4352,                0.24132,                0.14787,                0.12127,                 0.0325,                 3.0264,                 3.4799,                 2.5143,              0.0011365,              0.0011365,              0.0011365
                      4,                 2.8413,                 2.8631,                 2.4226,                0.04193,                 0.0848,                0.03919,                 0.0092,                 2.8872,                 5.1666,                 2.5141,              0.0010046,              0.0010046,              0.0010046
                      5,                 2.7745,                 2.6832,                 2.3505,                 0.1073,                0.09753,                0.07361,                0.02866,                 3.0125,                 3.7075,                 2.4488,              0.0010046,              0.0010046,              0.0010046
                      6,                 2.6459,                 2.4907,                 2.2419,                0.15465,                0.32831,                 0.1001,                0.03211,                 2.8917,                 3.9149,                 2.4855,             0.00086312,             0.00086312,             0.00086312
                      7,                 2.6326,                 2.3464,                 2.2168,                0.49635,                0.06326,                0.08568,                0.02539,                 2.7981,                 2.6315,                 2.3841,             0.00072164,             0.00072164,             0.00072164
                      8,                 2.5002,                 2.2836,                  2.168,                0.49026,                0.17548,                  0.252,                0.08178,                 2.7214,                 2.3606,                 2.2947,             0.00058017,             0.00058017,             0.00058017
                      9,                 2.4475,                 2.0982,                 2.0332,                0.60803,                0.13376,                0.10675,                0.03402,                 2.6457,                 3.1546,                 2.2336,              0.0004387,              0.0004387,              0.0004387
                     10,                 2.4053,                 1.9832,                 2.0365,                0.50169,                0.15535,                0.26384,                 0.0735,                 2.6241,                 2.6601,                 2.1618,             0.00029723,             0.00029723,             0.00029723
